Accession Number,Entrez Definition,Intensity in Tumor,Intensity in Normal,Ratio Normal:Tumor,p
H77597,Homo sapiens cDNA clone 214162 3' similar to gb:X64177 H.sapiens mRNA for metallothionein (HUMAN);,57.0,320.5,5.6,0.0000
T67986,Homo sapiens cDNA clone 82030 3' similar to gb:X14723 CLUSTERIN PRECURSOR (HUMAN);,35.0,195.7,5.6,0.0000
R99208,Homo sapiens cDNA clone 200586 3' similar to gb:X76717 H.sapiens MT-1l mRNA. (HUMAN);,10.0,55.7,5.6,0.0000
U03749,"Human chromogranin A (CHGA) gene, exon 8 and complete cds",10.0,55.0,5.5,0.0005
R93176,Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone 275738 3' similar to gb:M33987 CARBONIC ANHYDRASE I (HUMAN);,10.0,53.1,5.3,0.0001
L02785,"Homo sapiens colon mucosa-associated (DRA) mRNA, complete cds",161.0,848.1,5.3,0.0000
R94967,Homo sapiens cDNA clone 198656 3' similar to gb:L11924 HEPATOCYTE GROWTH FACTOR-LIKE PROTEIN PRECURSOR (HUMAN);,10.0,52.4,5.2,0.0090
J03037,"Human carbonic anhydrase II mRNA, complete cds",10.0,51.8,5.2,0.0000
M74509,Human endogenous retrovirus type C oncovirus sequence,15.1,77.9,5.2,0.0033
L11708,"Human 17 beta hydroxysteroid dehydrogenase type 2 mRNA, complete cds",18.7,96.2,5.2,0.0000
X77777,H.sapiens intestinal VIP receptor related protein mRNA,13.7,70.5,5.1,0.0000
R69552,Homo sapiens cDNA clone 155302 3',10.0,50.6,5.1,0.0000
M76378,"Human cysteine-rich protein (CRP) gene, exons 5 and 6",117.4,594.0,5.1,0.0000
R50730,Homo sapiens cDNA clone 152954 3' similar to gb:Z19585 THROMBOSPONDIN 4 PRECURSOR (HUMAN);,10.0,50.3,5.0,0.0012
M76378,"Human cysteine-rich protein (CRP) gene, exons 5 and 6",111.9,561.9,5.0,0.0000
R87126,Homo sapiens cDNA clone 197371 3' similar to contains Alu repetitive element;,55.5,265.3,4.8,0.0000
H43887,Homo sapiens cDNA clone 183264 3' similar to gb:M84526 COMPLEMENT FACTOR D PRECURSOR (HUMAN);contains Alu repetitive element;contains MER22 repetitive element ;,84.8,400.4,4.7,0.0000
R28373,Homo sapiens cDNA clone 133722 3' similar to gb:V00497 HEMOGLOBIN BETA CHAIN (HUMAN);,103.4,470.5,4.6,0.0041
T92451,"Homo sapiens cDNA clone 118219 3' similar to gb:M12125 TROPOMYOSIN, FIBROBLAST AND EPITHELIAL MUSCLE-TYPE (HUMAN);",173.9,790.3,4.5,0.0000
U17077,"Human BENE mRNA, partial cds",32.5,147.6,4.5,0.0000
U25138,"Human MaxiK potassium channel beta subunit mRNA, complete cds",14.9,67.4,4.5,0.0003
X86693,H.sapiens mRNA for hevin like protein,47.0,212.6,4.5,0.0000
H57136,Homo sapiens cDNA clone 204686 3' similar to SP:A40533 A40533 CAMP-DEPENDENT PROTEIN KINASE MAJOR MEMBRANE SUBSTRATE PRECURSOR - ;,10.0,44.5,4.5,0.0000
X73502,H. Sapiens mRNA for cytokeratin 20,55.2,245.6,4.5,0.0000
J03037,"Human carbonic anhydrase II mRNA, complete cds",10.0,44.0,4.4,0.0000
R70806,Homo sapiens cDNA clone 142621 3' similar to gb:X62535 DIACYLGLYCEROL KINASE (HUMAN);,10.0,43.9,4.4,0.0050
T51913,Homo sapiens cDNA clone 72466 3' similar to gb:S45630 ALPHA CRYSTALLIN B CHAIN (HUMAN),10.0,43.5,4.3,0.0000
M64110,"Human caldesmon mRNA, complete cds",28.2,121.1,4.3,0.0004
T50678,Homo sapiens cDNA clone 72786 3' contains TAR1 repetitive element,12.5,53.7,4.3,0.0086
Z50753,H.sapiens mRNA for GCAP-II/uroguanylin precursor,42.9,183.7,4.3,0.0000
M58286,"Homo sapiens tumor necrosis factor receptor mRNA, complete cds",30.5,130.5,4.3,0.0012
U08854,"Human UDP glucuronosyltransferase precursor (UGT2B15) mRNA, complete cds",30.8,131.2,4.3,0.0032
M16451,"Human creatine kinase b-subunit mRNA, complete cds",43.0,182.1,4.2,0.0007
X52679,Human ASM-2 mRNA for sphingomyelin phosphodiesterase (EC 3.1.4.12),10.0,42.2,4.2,0.0000
X15882,Human mRNA for collagen VI alpha-2 C-terminal globular domain,71.7,297.8,4.2,0.0000
T71025,Homo sapiens cDNA clone 84103 3' similar to gb:J03910_rna1 Human (HUMAN);,217.8,893.3,4.1,0.0000
M12272,"Homo sapiens alcohol dehydrogenase class I gamma subunit (ADH3) mRNA, complete cds",42.9,174.8,4.1,0.0000
M26683,Human interferon gamma treatment inducible mRNA,37.8,152.0,4.0,0.0017
D90313,"Human mRNA for biliary glycoprotein, BGPi",12.7,51.0,4.0,0.0090
